Entity,Code,Date,deaths,fivedeath
Kenya,KEN,"Apr 24, 2020",14,16
Kenya,KEN,"Apr 25, 2020",14,17
Kenya,KEN,"Apr 26, 2020",14,18
Kenya,KEN,"Apr 27, 2020",14,19
Kenya,KEN,"Apr 28, 2020",14,20
Kenya,KEN,"Apr 29, 2020",14,21
Kenya,KEN,"Apr 30, 2020",15,22
Kenya,KEN,"May 1, 2020",17,23
Kenya,KEN,"May 2, 2020",21,24
Kenya,KEN,"May 3, 2020",22,25
Kenya,KEN,"May 4, 2020",24,26
Kenya,KEN,"May 5, 2020",24,27
Kenya,KEN,"May 6, 2020",24,28
Kenya,KEN,"May 7, 2020",26,29
Kenya,KEN,"May 8, 2020",29,30
Kenya,KEN,"May 9, 2020",29,31
Kenya,KEN,"May 10, 2020",30,32
Kenya,KEN,"May 11, 2020",32,33
Kenya,KEN,"May 12, 2020",33,34
Kenya,KEN,"May 13, 2020",36,35
Kenya,KEN,"May 14, 2020",40,36
Kenya,KEN,"May 15, 2020",42,37
Kenya,KEN,"May 16, 2020",45,38
Kosovo,OWID_KOS,"Apr 8, 2020",5,0
Kosovo,OWID_KOS,"Apr 9, 2020",5,1
Kosovo,OWID_KOS,"Apr 10, 2020",7,2
Kosovo,OWID_KOS,"Apr 11, 2020",7,3
Kosovo,OWID_KOS,"Apr 12, 2020",7,4
Kosovo,OWID_KOS,"Apr 13, 2020",7,5
Kosovo,OWID_KOS,"Apr 14, 2020",8,6
Kosovo,OWID_KOS,"Apr 15, 2020",8,7
Kosovo,OWID_KOS,"Apr 16, 2020",9,8
Kosovo,OWID_KOS,"Apr 17, 2020",11,9
Kosovo,OWID_KOS,"Apr 18, 2020",12,10
Kosovo,OWID_KOS,"Apr 19, 2020",12,11
Kosovo,OWID_KOS,"Apr 20, 2020",12,12
Kosovo,OWID_KOS,"Apr 21, 2020",15,13
Kosovo,OWID_KOS,"Apr 22, 2020",18,14
Kosovo,OWID_KOS,"Apr 23, 2020",18,15
Kosovo,OWID_KOS,"Apr 24, 2020",19,16
Kosovo,OWID_KOS,"Apr 25, 2020",19,17
Kosovo,OWID_KOS,"Apr 26, 2020",20,18
Kosovo,OWID_KOS,"Apr 27, 2020",21,19
Kosovo,OWID_KOS,"Apr 28, 2020",22,20
Kosovo,OWID_KOS,"Apr 29, 2020",22,21
Kosovo,OWID_KOS,"Apr 30, 2020",22,22
Kosovo,OWID_KOS,"May 1, 2020",22,23
