Task ID,Task Name,Start Date,End Date,Duration,Task
24,Brunei,2020-03-09,2020-05-08,60 days 00:00:00.000000000,Brunei
20,Bolivia,2020-03-11,2020-05-10,60 days 00:00:00.000000000,Bolivia
76,Honduras,2020-03-11,2020-05-10,60 days 00:00:00.000000000,Honduras
113,Mongolia,2020-03-10,2020-05-09,60 days 00:00:00.000000000,Mongolia
26,Burkina Faso,2020-03-10,2020-05-10,61 days 00:00:00.000000000,Burkina Faso
128,Panama,2020-03-10,2020-05-10,61 days 00:00:00.000000000,Panama
75,Holy See,2020-03-06,2020-05-07,62 days 00:00:00.000000000,Holy See
45,Cyprus,2020-03-09,2020-05-10,62 days 00:00:00.000000000,Cyprus
1,Albania,2020-03-09,2020-05-10,62 days 00:00:00.000000000,Albania
111,Moldova,2020-03-08,2020-05-10,63 days 00:00:00.000000000,Moldova
105,Maldives,2020-03-08,2020-05-10,63 days 00:00:00.000000000,Maldives
25,Bulgaria,2020-03-08,2020-05-10,63 days 00:00:00.000000000,Bulgaria
13,Bangladesh,2020-03-08,2020-05-10,63 days 00:00:00.000000000,Bangladesh
130,Paraguay,2020-03-08,2020-05-10,63 days 00:00:00.000000000,Paraguay
107,Malta,2020-03-07,2020-05-10,64 days 00:00:00.000000000,Malta
181,West Bank and Gaza,2020-03-05,2020-05-08,64 days 00:00:00.000000000,West Bank and Gaza
150,Slovakia,2020-03-06,2020-05-09,64 days 00:00:00.000000000,Slovakia
41,Costa Rica,2020-03-06,2020-05-10,65 days 00:00:00.000000000,Costa Rica
31,Cameroon,2020-03-06,2020-05-10,65 days 00:00:00.000000000,Cameroon
146,Serbia,2020-03-06,2020-05-10,65 days 00:00:00.000000000,Serbia
37,Colombia,2020-03-06,2020-05-10,65 days 00:00:00.000000000,Colombia
168,Togo,2020-03-06,2020-05-10,65 days 00:00:00.000000000,Togo
131,Peru,2020-03-06,2020-05-10,65 days 00:00:00.000000000,Peru
153,South Africa,2020-03-05,2020-05-10,66 days 00:00:00.000000000,South Africa
21,Bosnia and Herzegovina,2020-03-05,2020-05-10,66 days 00:00:00.000000000,Bosnia and Herzegovina
151,Slovenia,2020-03-05,2020-05-10,66 days 00:00:00.000000000,Slovenia
133,Poland,2020-03-04,2020-05-10,67 days 00:00:00.000000000,Poland
77,Hungary,2020-03-04,2020-05-10,67 days 00:00:00.000000000,Hungary
170,Tunisia,2020-03-04,2020-05-10,67 days 00:00:00.000000000,Tunisia
6,Argentina,2020-03-03,2020-05-10,68 days 00:00:00.000000000,Argentina
35,Chile,2020-03-03,2020-05-10,68 days 00:00:00.000000000,Chile
88,Jordan,2020-03-03,2020-05-10,68 days 00:00:00.000000000,Jordan
174,Ukraine,2020-03-03,2020-05-10,68 days 00:00:00.000000000,Ukraine
144,Saudi Arabia,2020-03-02,2020-05-10,69 days 00:00:00.000000000,Saudi Arabia
