,Axis1,Axis2,Kernel
486,-23.571291,34.912384,3
487,32.7784,-45.924187,0
488,9.469994,-12.50747,12
489,15.781631,5.5534396,1
490,-0.37528774,14.915766,5
491,-22.936504,-31.352377,9
492,-54.193123,11.379207,10
493,34.18051,-32.42461,0
494,-14.094356,-31.786604,8
495,-24.704613,18.330889,10
496,-19.312965,-29.30668,9
497,20.062061,26.496706,14
498,37.31534,-49.001617,0
499,15.939736,-8.706802,8
500,24.926588,-55.673264,0
501,-19.086727,20.1129,11
502,-23.963598,8.961246,3
503,-1.0905591,-45.481564,4
504,-16.280594,50.522892,14
505,0.85139143,-45.673416,4
506,-6.073892,24.59893,11
507,-18.236147,25.946228,3
508,36.74927,-12.199077,5
509,17.299833,5.758149,1
510,-11.961282,24.607924,3
511,20.590944,-24.533297,5
512,38.629307,-0.8681383,12
513,-8.172671,29.835848,3
514,3.3152804,19.41712,13
515,-24.260319,58.446,14
516,29.345524,14.292066,13
517,-21.94862,50.66779,14
518,-14.165729,9.437402,11
519,-12.852403,35.79814,11
520,31.726164,-16.303932,7
521,-33.379616,29.272429,11
522,40.242622,-13.034464,0
523,42.397926,-26.73699,5
524,-37.372322,-8.983779,10
525,-12.376982,-6.678937,7
526,-22.842426,-26.47465,9
527,-1.5206542,-28.49352,3
528,2.5452662,-44.41848,4
529,31.894938,-16.370895,0
530,-19.408054,-8.945714,5
531,43.522575,-53.328957,5
532,-9.125135,-2.611763,7
533,3.9072723,-57.635315,8
534,19.080385,23.34472,1
535,-0.22028543,-35.307873,8
536,-0.8742298,-45.283146,4
537,-25.606781,-0.23632064,5
538,32.297596,-4.38732,12
539,-21.04868,-7.309483,10
540,-6.0900693,-39.35943,8
541,-7.800431,-14.407571,5
542,-1.2416346,-16.731339,8
543,29.42317,-45.63134,0
544,15.389415,10.059887,5
545,10.700421,-43.145878,5
546,-26.853209,0.98199826,3
547,42.18444,-46.48947,5
548,-8.651249,14.120016,11
549,5.1367235,-48.763172,4
550,-26.467207,21.322214,11
551,4.2925897,-13.922351,5
552,-0.4321009,58.245987,2
553,42.989765,-44.38703,0
554,-33.63735,21.245546,11
555,12.641927,22.787558,14
556,6.138877,-45.062004,8
557,45.833885,-19.609005,5
558,-17.78897,-24.567406,9
559,-38.71538,17.313782,3
560,35.82175,-33.14888,1
561,34.99642,3.318417,12
562,-50.759045,26.162344,10
563,17.140884,20.091825,14
564,-14.564013,25.176146,3
565,-20.202303,37.776295,11
566,-25.145111,59.45463,14
567,21.091423,-10.891288,8
568,-13.738825,-8.311327,7
569,-9.677001,24.884283,11
570,-16.035465,3.7729003,11
571,-10.494665,1.0968573,3
572,48.92883,-28.964865,5
573,-27.509953,61.00097,14
574,-9.425639,11.054364,11
575,-45.486645,-14.632426,3
576,-26.845915,3.220673,3
577,-14.289197,23.195444,3
578,-2.2674892,11.029365,6
579,6.2901626,-16.750673,8
580,46.687435,-47.543194,5
581,23.314915,-11.3422785,8
582,-29.63026,3.948685,3
583,-16.490896,14.288457,7
584,-19.002369,14.915838,3
585,-24.022755,-21.93512,11
586,6.8162017,2.667456,5
587,-48.721966,2.1401296,10
588,-21.584175,8.949967,3
589,37.89985,10.312104,12
590,26.542513,-22.585388,5
591,-34.687183,26.658943,11
592,-21.385366,-30.342775,9
593,12.702076,-8.138844,8
594,8.623824,14.835562,5
595,-14.387418,2.844735,10
596,-23.30178,13.786595,3
597,39.154945,-29.036087,0
598,-18.474169,-31.31447,9
599,21.149235,-7.923597,12
600,-41.183777,4.7157974,14
601,43.255768,-1.4266534,12
602,-25.991442,7.2509103,3
603,-6.006907,-6.9446807,11
604,0.14283176,52.908016,5
605,33.93638,-43.834324,0
606,30.92856,-8.778473,8
607,9.651843,15.029695,5
608,-22.680937,-28.492842,9
609,43.68801,-53.88451,5
610,-46.891205,8.465821,10
611,-24.393599,20.497885,1
612,1.2765551,-41.478046,4
613,-0.41490906,-6.127983,5
614,-23.93061,8.675057,3
615,41.85819,14.959365,12
616,-9.4323015,-20.991554,8
617,-37.123955,-7.45717,1
618,30.067173,-38.025955,0
619,-48.197975,26.189964,11
620,-4.3795614,31.032894,14
621,-20.110195,23.790972,3
622,-19.498707,45.748123,14
623,19.365803,45.605713,13
624,-2.3553584,-12.290437,5
625,21.82728,37.503265,14
626,41.579544,-31.342426,5
627,-17.649569,15.96971,11
628,31.985338,-10.809264,10
629,10.49871,27.471775,14
630,-56.652527,2.3858137,10
631,-47.199238,-9.447506,1
632,23.845476,5.0083237,5
633,49.62075,-30.96575,5
634,-51.097828,27.75534,9
635,-3.1176095,-45.253426,4
636,-6.984188,40.660164,5
637,-39.738277,3.630233,3
638,-40.785038,10.626076,3
639,-21.779947,21.035284,3
