Entity,Code,date,deaths,fivedeath
Bangladesh,BGD,22-Apr-20,110,27
Barbados,BRB,1-Apr-20,0,
Barbados,BRB,2-Apr-20,0,
Barbados,BRB,3-Apr-20,0,
Barbados,BRB,4-Apr-20,0,
Barbados,BRB,5-Apr-20,0,
Barbados,BRB,6-Apr-20,1,
Barbados,BRB,7-Apr-20,2,
Barbados,BRB,8-Apr-20,3,
Barbados,BRB,9-Apr-20,3,
Barbados,BRB,10-Apr-20,3,
Barbados,BRB,11-Apr-20,4,
Barbados,BRB,12-Apr-20,4,
Barbados,BRB,13-Apr-20,4,
Barbados,BRB,14-Apr-20,4,
Barbados,BRB,15-Apr-20,5,0
Barbados,BRB,16-Apr-20,5,1
Barbados,BRB,17-Apr-20,5,2
Barbados,BRB,18-Apr-20,5,3
Barbados,BRB,19-Apr-20,5,4
Barbados,BRB,20-Apr-20,5,5
Barbados,BRB,21-Apr-20,5,6
Barbados,BRB,22-Apr-20,5,7
Belarus,BLR,1-Apr-20,0,
Belarus,BLR,2-Apr-20,0,
Belarus,BLR,3-Apr-20,4,
Belarus,BLR,4-Apr-20,4,
Belarus,BLR,5-Apr-20,5,0
Belarus,BLR,6-Apr-20,8,1
Belarus,BLR,7-Apr-20,13,2
Belarus,BLR,8-Apr-20,13,3
Belarus,BLR,9-Apr-20,13,4
Belarus,BLR,10-Apr-20,16,5
Belarus,BLR,11-Apr-20,19,6
Belarus,BLR,12-Apr-20,23,7
Belarus,BLR,13-Apr-20,26,8
Belarus,BLR,14-Apr-20,29,9
Belarus,BLR,15-Apr-20,33,10
Belarus,BLR,16-Apr-20,36,11
Belarus,BLR,17-Apr-20,40,12
Belarus,BLR,18-Apr-20,42,13
Belarus,BLR,19-Apr-20,45,14
Belarus,BLR,20-Apr-20,47,15
Belarus,BLR,21-Apr-20,51,16
Belarus,BLR,22-Apr-20,55,17
Belgium,BEL,1-Apr-20,705,15
Belgium,BEL,2-Apr-20,828,16
Belgium,BEL,3-Apr-20,1011,17
Belgium,BEL,4-Apr-20,1143,18
Belgium,BEL,5-Apr-20,1283,19
Belgium,BEL,6-Apr-20,1447,20
Belgium,BEL,7-Apr-20,1632,21
Belgium,BEL,8-Apr-20,2035,22
Belgium,BEL,9-Apr-20,2240,23
Belgium,BEL,10-Apr-20,2523,24
Belgium,BEL,11-Apr-20,3019,25
Belgium,BEL,12-Apr-20,3346,26
Belgium,BEL,13-Apr-20,3600,27
Belgium,BEL,14-Apr-20,3903,28
Belgium,BEL,15-Apr-20,4157,29
Belgium,BEL,16-Apr-20,4440,30
Belgium,BEL,17-Apr-20,4857,31
Belgium,BEL,18-Apr-20,5163,32
Belgium,BEL,19-Apr-20,5453,33
Belgium,BEL,20-Apr-20,5683,34
Belgium,BEL,21-Apr-20,5828,35
Belgium,BEL,22-Apr-20,5998,36
Belize,BLZ,1-Apr-20,0,
Belize,BLZ,2-Apr-20,0,
Belize,BLZ,3-Apr-20,0,
Belize,BLZ,4-Apr-20,0,
Belize,BLZ,5-Apr-20,0,
Belize,BLZ,6-Apr-20,1,
Belize,BLZ,7-Apr-20,1,
Belize,BLZ,8-Apr-20,1,
Belize,BLZ,9-Apr-20,1,
Belize,BLZ,10-Apr-20,1,
Belize,BLZ,11-Apr-20,2,
Belize,BLZ,12-Apr-20,2,
