Entity,Code,Date,Total confirmed cases of COVID-19 per million people (cases per million)
Jordan,JOR,"Apr 19, 2020",40.47773528541214
Jordan,JOR,"Apr 20, 2020",40.86977146251056
Jordan,JOR,"Apr 21, 2020",41.65384381670741
Jordan,JOR,"Apr 22, 2020",41.65384381670741
Kazakhstan,KAZ,"Mar 15, 2020",0.3195448488385104
Kazakhstan,KAZ,"Mar 16, 2020",0.47931727325776563
Kazakhstan,KAZ,"Mar 17, 2020",0.5858322228706024
Kazakhstan,KAZ,"Mar 18, 2020",1.7574966686118074
Kazakhstan,KAZ,"Mar 19, 2020",1.970526567837481
Kazakhstan,KAZ,"Mar 20, 2020",2.609616265514502
Kazakhstan,KAZ,"Mar 21, 2020",2.8226461647401755
Kazakhstan,KAZ,"Mar 22, 2020",2.9824185891594306
Kazakhstan,KAZ,"Mar 23, 2020",3.195448488385104
Kazakhstan,KAZ,"Mar 24, 2020",3.3019634379979412
Kazakhstan,KAZ,"Mar 25, 2020",4.207340509707054
Kazakhstan,KAZ,"Mar 26, 2020",4.6866577829648195
Kazakhstan,KAZ,"Mar 27, 2020",6.390896976770208
Kazakhstan,KAZ,"Mar 28, 2020",10.278692637638752
Kazakhstan,KAZ,"Mar 29, 2020",12.195961730669815
Kazakhstan,KAZ,"Mar 30, 2020",15.125122845022826
Kazakhstan,KAZ,"Mar 31, 2020",17.30867931208598
Kazakhstan,KAZ,"Apr 1, 2020",18.107541434182256
Kazakhstan,KAZ,"Apr 2, 2020",18.533601232633604
Kazakhstan,KAZ,"Apr 3, 2020",20.557385275277504
Kazakhstan,KAZ,"Apr 4, 2020",24.498438410952467
Kazakhstan,KAZ,"Apr 5, 2020",24.498438410952467
Kazakhstan,KAZ,"Apr 6, 2020",28.279719122208174
Kazakhstan,KAZ,"Apr 7, 2020",35.682508120300334
Kazakhstan,KAZ,"Apr 8, 2020",37.493262263718556
Kazakhstan,KAZ,"Apr 9, 2020",40.42242337807157
Kazakhstan,KAZ,"Apr 10, 2020",42.71249479474756
Kazakhstan,KAZ,"Apr 11, 2020",44.73627883739146
Kazakhstan,KAZ,"Apr 12, 2020",46.86657782964819
Kazakhstan,KAZ,"Apr 13, 2020",51.18043328896809
Kazakhstan,KAZ,"Apr 14, 2020",62.7905627967673
Kazakhstan,KAZ,"Apr 15, 2020",67.47722057973212
Kazakhstan,KAZ,"Apr 16, 2020",70.88569896734289
Kazakhstan,KAZ,"Apr 17, 2020",78.28848796543505
Kazakhstan,KAZ,"Apr 18, 2020",84.73264241701168
Kazakhstan,KAZ,"Apr 19, 2020",88.08786332981605
Kazakhstan,KAZ,"Apr 20, 2020",92.40171878913593
Kazakhstan,KAZ,"Apr 21, 2020",103.79881839770947
Kazakhstan,KAZ,"Apr 22, 2020",107.84638648299727
Kenya,KEN,"Mar 14, 2020",0.018597281449397728
Kenya,KEN,"Mar 15, 2020",0.018597281449397728
Kenya,KEN,"Mar 16, 2020",0.05579184434819318
Kenya,KEN,"Mar 17, 2020",0.05579184434819318
Kenya,KEN,"Mar 18, 2020",0.07438912579759091
Kenya,KEN,"Mar 19, 2020",0.1301809701457841
Kenya,KEN,"Mar 20, 2020",0.1301809701457841
Kenya,KEN,"Mar 21, 2020",0.1301809701457841
Kenya,KEN,"Mar 22, 2020",0.1301809701457841
Kenya,KEN,"Mar 23, 2020",0.27895922174096593
Kenya,KEN,"Mar 24, 2020",0.29755650319036364
Kenya,KEN,"Mar 25, 2020",0.4649320362349432
Kenya,KEN,"Mar 26, 2020",0.4649320362349432
Kenya,KEN,"Mar 27, 2020",0.5765157249313295
Kenya,KEN,"Mar 28, 2020",0.5765157249313295
Kenya,KEN,"Mar 29, 2020",0.7066966950771136
Kenya,KEN,"Mar 30, 2020",0.7810858208747046
Kenya,KEN,"Mar 31, 2020",0.9298640724698864
Kenya,KEN,"Apr 1, 2020",1.097239605514466
Kenya,KEN,"Apr 2, 2020",1.506379797401216
Kenya,KEN,"Apr 3, 2020",2.0457009594337503
Kenya,KEN,"Apr 4, 2020",2.268868336826523
Kenya,KEN,"Apr 5, 2020",2.3432574626241136
Kenya,KEN,"Apr 6, 2020",2.6408139658144774
Kenya,KEN,"Apr 7, 2020",2.938370469004841
Kenya,KEN,"Apr 8, 2020",3.1987324092964093
Kenya,KEN,"Apr 9, 2020",3.3289133794421932
Kenya,KEN,"Apr 10, 2020",3.421899786689182
Kenya,KEN,"Apr 11, 2020",3.514886193936171
Kenya,KEN,"Apr 12, 2020",3.552080756834966
Kenya,KEN,"Apr 13, 2020",3.6636644455313525
Kenya,KEN,"Apr 14, 2020",3.8682345414747275
Kenya,KEN,"Apr 15, 2020",4.0170127930699095
Kenya,KEN,"Apr 16, 2020",4.1843883261144885
Kenya,KEN,"Apr 17, 2020",4.351763859159068
Kenya,KEN,"Apr 18, 2020",4.5749312365518415
Kenya,KEN,"Apr 19, 2020",4.872487739742205
Kenya,KEN,"Apr 20, 2020",5.021265991337387
Kenya,KEN,"Apr 21, 2020",5.225836087280761
Kenya,KEN,"Apr 22, 2020",5.225836087280761
Kosovo,OWID_KOS,"Mar 16, 2020",1.034782131796061
Kosovo,OWID_KOS,"Mar 17, 2020",1.034782131796061
Kosovo,OWID_KOS,"Mar 18, 2020",9.83043025206258
Kosovo,OWID_KOS,"Mar 19, 2020",9.83043025206258
Kosovo,OWID_KOS,"Mar 20, 2020",10.86521238385864
Kosovo,OWID_KOS,"Mar 21, 2020",12.417385581552733
Kosovo,OWID_KOS,"Mar 22, 2020",12.417385581552733
Kosovo,OWID_KOS,"Mar 23, 2020",16.039123042838945
Kosovo,OWID_KOS,"Mar 24, 2020",31.56085501977986
Kosovo,OWID_KOS,"Mar 25, 2020",32.59563715157592
Kosovo,OWID_KOS,"Mar 26, 2020",36.73476567876016
Kosovo,OWID_KOS,"Mar 27, 2020",40.87389420594441
Kosovo,OWID_KOS,"Mar 28, 2020",44.495631667230626
Kosovo,OWID_KOS,"Mar 29, 2020",45.53041379902668
Kosovo,OWID_KOS,"Mar 30, 2020",47.08258699672078
Kosovo,OWID_KOS,"Mar 31, 2020",54.843452985191234
Kosovo,OWID_KOS,"Apr 1, 2020",57.94779938057942
Kosovo,OWID_KOS,"Apr 2, 2020",57.94779938057942
Kosovo,OWID_KOS,"Apr 3, 2020",64.67388323725382
Kosovo,OWID_KOS,"Apr 4, 2020",65.19127430315184
Kosovo,OWID_KOS,"Apr 5, 2020",68.29562069854002
Kosovo,OWID_KOS,"Apr 6, 2020",72.43474922572427
Kosovo,OWID_KOS,"Apr 7, 2020",75.02170455521443
Kosovo,OWID_KOS,"Apr 8, 2020",95.1999561252376
Kosovo,OWID_KOS,"Apr 9, 2020",95.1999561252376
Kosovo,OWID_KOS,"Apr 10, 2020",117.44777195885293
Kosovo,OWID_KOS,"Apr 11, 2020",129.34776647450764
Kosovo,OWID_KOS,"Apr 12, 2020",146.42167164914264
Kosovo,OWID_KOS,"Apr 13, 2020",187.29556585508703
Kosovo,OWID_KOS,"Apr 14, 2020",195.0564318435575
Kosovo,OWID_KOS,"Apr 15, 2020",200.2303425025378
Kosovo,OWID_KOS,"Apr 16, 2020",218.8564208748669
Kosovo,OWID_KOS,"Apr 17, 2020",232.30858858821568
Kosovo,OWID_KOS,"Apr 18, 2020",248.34771163105464
Kosovo,OWID_KOS,"Apr 19, 2020",263.86944360799555
Kosovo,OWID_KOS,"Apr 20, 2020",263.86944360799555
Kosovo,OWID_KOS,"Apr 21, 2020",309.39985740702224
Kosovo,OWID_KOS,"Apr 22, 2020",312.5042038024104
Kuwait,KWT,"Dec 31, 2019",0
Kuwait,KWT,"Jan 1, 2020",0
Kuwait,KWT,"Jan 2, 2020",0
Kuwait,KWT,"Jan 3, 2020",0
Kuwait,KWT,"Jan 4, 2020",0
Kuwait,KWT,"Jan 5, 2020",0
Kuwait,KWT,"Jan 6, 2020",0
Kuwait,KWT,"Jan 7, 2020",0
Kuwait,KWT,"Jan 8, 2020",0
Kuwait,KWT,"Jan 9, 2020",0
Kuwait,KWT,"Jan 10, 2020",0
Kuwait,KWT,"Jan 11, 2020",0
Kuwait,KWT,"Jan 12, 2020",0
Kuwait,KWT,"Jan 13, 2020",0
Kuwait,KWT,"Jan 14, 2020",0
Kuwait,KWT,"Jan 15, 2020",0
Kuwait,KWT,"Jan 16, 2020",0
Kuwait,KWT,"Jan 17, 2020",0
Kuwait,KWT,"Jan 18, 2020",0
Kuwait,KWT,"Jan 19, 2020",0
Kuwait,KWT,"Jan 20, 2020",0
Kuwait,KWT,"Jan 21, 2020",0
Kuwait,KWT,"Jan 22, 2020",0
Kuwait,KWT,"Jan 23, 2020",0
Kuwait,KWT,"Jan 24, 2020",0
Kuwait,KWT,"Jan 25, 2020",0
Kuwait,KWT,"Jan 26, 2020",0
Kuwait,KWT,"Jan 27, 2020",0
Kuwait,KWT,"Jan 28, 2020",0
Kuwait,KWT,"Jan 29, 2020",0
Kuwait,KWT,"Jan 30, 2020",0
Kuwait,KWT,"Jan 31, 2020",0
Kuwait,KWT,"Feb 1, 2020",0
Kuwait,KWT,"Feb 2, 2020",0
Kuwait,KWT,"Feb 3, 2020",0
Kuwait,KWT,"Feb 4, 2020",0
Kuwait,KWT,"Feb 5, 2020",0
Kuwait,KWT,"Feb 6, 2020",0
Kuwait,KWT,"Feb 7, 2020",0
Kuwait,KWT,"Feb 8, 2020",0
Kuwait,KWT,"Feb 9, 2020",0
Kuwait,KWT,"Feb 10, 2020",0
Kuwait,KWT,"Feb 11, 2020",0
Kuwait,KWT,"Feb 12, 2020",0
Kuwait,KWT,"Feb 13, 2020",0
Kuwait,KWT,"Feb 14, 2020",0
Kuwait,KWT,"Feb 15, 2020",0
